NO.,Time,Interval,Indoor Temperature(°C),Indoor Humidity(%),Outdoor Temperature(°C),Outdoor Humidity(%),Relative Pressure(mmHg),Absolute Pressure(mmHg),Wind Speed(km/h),Gust(km/h),Wind Direction,DewPoint(°C),WindChill(°C),Hour Rainfall(mm),24 Hour Rainfall(mm),Week Rainfall(mm),Month Rainfall(mm),Total Rainfall(mm)
23,01/03/2022 01:50:00,5,27.4,70,22.1,95,756.2,724.5,6.1,11.2,ESE,21.3,22.1,2.40,3.30,72.90,3.30,157.20
24,01/03/2022 01:55:00,5,27.4,70,22.1,95,756.0,724.4,8.6,13.3,ESE,21.3,21.2,2.40,3.30,72.90,3.30,157.20
25,01/03/2022 02:00:00,5,27.4,70,22.0,95,755.8,724.1,11.2,20.9,ESE,21.2,20.4,0.00,3.30,72.90,3.30,157.20
26,01/03/2022 02:05:00,5,27.4,70,22.1,94,755.6,724.0,13.3,20.9,SSE,21.1,20.1,0.00,3.30,72.90,3.30,157.20
27,01/03/2022 02:10:00,5,27.4,70,22.2,93,755.8,724.1,8.6,18.4,ESE,21.0,21.3,0.00,3.30,72.90,3.30,157.20
28,01/03/2022 02:15:00,5,27.4,70,22.3,93,755.8,724.1,5.0,11.2,ESE,21.1,22.3,0.00,3.30,72.90,3.30,157.20
29,01/03/2022 02:20:00,5,27.4,70,22.3,93,756.0,724.4,7.2,13.3,SE,21.1,21.8,0.00,3.30,72.90,3.30,157.20
30,01/03/2022 02:25:00,5,27.4,70,22.3,93,756.1,724.4,1.1,3.6,ESE,21.1,22.3,0.00,3.30,72.90,3.30,157.20
31,01/03/2022 02:30:00,5,27.4,70,22.2,93,756.2,724.5,6.1,9.7,E,21.0,22.2,0.00,3.30,72.90,3.30,157.20
32,01/03/2022 02:35:00,5,27.4,70,22.2,94,756.2,724.5,3.6,3.6,E,21.2,22.2,0.00,3.30,72.90,3.30,157.20
33,01/03/2022 02:40:00,5,27.4,70,22.2,94,756.2,724.5,3.6,6.1,E,21.2,22.2,0.00,3.30,72.90,3.30,157.20
34,01/03/2022 02:45:00,5,27.4,70,22.1,94,756.2,724.5,1.1,2.5,E,21.1,22.1,0.00,3.30,72.90,3.30,157.20
35,01/03/2022 02:50:00,5,27.3,70,22.0,94,756.1,724.4,2.5,2.5,E,21.0,22.0,0.00,3.30,72.90,3.30,157.20
36,01/03/2022 02:55:00,5,27.3,70,22.0,95,755.9,724.2,2.5,3.6,E,21.2,22.0,0.00,3.30,72.90,3.30,157.20
37,01/03/2022 03:00:00,5,27.3,70,21.9,95,755.8,724.1,0.0,0.0,E,21.1,21.9,0.00,3.30,72.90,3.30,157.20
38,01/03/2022 03:05:00,5,27.4,70,22.0,95,755.6,724.0,2.5,2.5,E,21.2,22.0,0.00,3.30,72.90,3.30,157.20
39,01/03/2022 03:10:00,5,27.3,70,22.0,95,755.6,724.0,2.5,3.6,E,21.2,22.0,0.00,3.30,72.90,3.30,157.20
40,01/03/2022 03:15:00,5,27.3,70,21.9,95,755.5,723.8,2.5,3.6,E,21.1,21.9,0.00,3.30,72.90,3.30,157.20
41,01/03/2022 03:20:00,5,27.3,70,22.0,95,755.5,723.8,2.5,3.6,E,21.2,22.0,0.00,3.30,72.90,3.30,157.20
42,01/03/2022 03:25:00,5,27.3,70,21.9,95,755.5,723.8,2.5,3.6,E,21.1,21.9,0.00,3.30,72.90,3.30,157.20
43,01/03/2022 03:30:00,5,27.3,70,21.9,95,755.6,724.0,2.5,3.6,E,21.1,21.9,0.00,3.30,72.90,3.30,157.20
44,01/03/2022 03:35:00,5,27.3,70,21.9,95,755.6,723.9,0.0,0.0,ESE,21.1,21.9,0.00,3.30,72.90,3.30,157.20
45,01/03/2022 03:40:00,5,27.3,70,21.9,95,755.5,723.8,2.5,3.6,ESE,21.1,21.9,0.00,3.30,72.90,3.30,157.20
46,01/03/2022 03:45:00,5,27.3,70,22.0,95,755.6,723.9,1.1,2.5,ENE,21.2,22.0,0.00,3.30,72.90,3.30,157.20
47,01/03/2022 03:50:00,5,27.3,70,22.0,95,755.6,723.9,0.0,0.0,ENE,21.2,22.0,0.00,3.30,72.90,3.30,157.20
48,01/03/2022 03:55:00,5,27.3,70,22.0,95,755.4,723.8,1.1,2.5,ENE,21.2,22.0,0.00,3.30,72.90,3.30,157.20
49,01/03/2022 04:00:00,5,27.3,70,21.9,96,755.6,723.9,3.6,3.6,ENE,21.3,21.9,0.00,3.30,72.90,3.30,157.20
50,01/03/2022 04:05:00,5,27.3,70,21.9,96,755.4,723.8,5.0,6.1,ENE,21.3,21.9,0.00,3.30,72.90,3.30,157.20
51,01/03/2022 04:10:00,5,27.3,70,21.9,96,755.5,723.8,3.6,3.6,E,21.3,21.9,0.00,3.30,72.90,3.30,157.20
52,01/03/2022 04:15:00,5,27.3,70,21.9,96,755.3,723.6,3.6,6.1,ENE,21.3,21.9,0.00,3.30,72.90,3.30,157.20
53,01/03/2022 04:20:00,5,27.3,70,21.9,96,755.5,723.8,2.5,3.6,ESE,21.3,21.9,0.00,3.30,72.90,3.30,157.20
54,01/03/2022 04:25:00,5,27.3,70,21.9,95,755.5,723.8,1.1,2.5,ESE,21.1,21.9,0.00,3.30,72.90,3.30,157.20
55,01/03/2022 04:30:00,5,27.3,70,22.0,95,755.3,723.7,0.0,0.0,ESE,21.2,22.0,0.00,3.30,72.90,3.30,157.20
56,01/03/2022 04:35:00,5,27.3,70,22.0,95,755.4,723.8,1.1,2.5,ESE,21.2,22.0,0.00,3.30,72.90,3.30,157.20
57,01/03/2022 04:40:00,5,27.3,70,22.0,95,755.3,723.7,1.1,2.5,ESE,21.2,22.0,0.00,3.30,72.90,3.30,157.20
58,01/03/2022 04:45:00,5,27.3,70,22.0,95,755.3,723.7,1.1,2.5,ESE,21.2,22.0,0.00,3.30,72.90,3.30,157.20
59,01/03/2022 04:50:00,5,27.3,70,22.1,94,755.4,723.8,0.0,0.0,ESE,21.1,22.1,0.00,3.30,72.90,3.30,157.20
60,01/03/2022 04:55:00,5,27.3,70,22.3,94,755.5,723.8,0.0,0.0,ESE,21.3,22.3,0.00,3.30,72.90,3.30,157.20
61,01/03/2022 05:00:00,5,27.3,70,22.4,94,755.5,723.8,0.0,0.0,ESE,21.4,22.4,0.00,3.30,72.90,3.30,157.20
62,01/03/2022 05:05:00,5,27.3,70,22.3,95,755.4,723.8,0.0,0.0,ESE,21.5,22.3,0.00,3.30,72.90,3.30,157.20
63,01/03/2022 05:10:00,5,27.3,70,22.1,95,755.4,723.8,1.1,2.5,ESE,21.3,22.1,0.00,3.30,72.90,3.30,157.20
64,01/03/2022 05:15:00,5,27.3,70,22.0,95,755.3,723.7,0.0,0.0,ESE,21.2,22.0,0.00,3.30,72.90,3.30,157.20
65,01/03/2022 05:20:00,5,27.3,70,21.9,96,755.5,723.8,0.0,0.0,ESE,21.3,21.9,0.00,3.30,72.90,3.30,157.20
66,01/03/2022 05:25:00,5,27.3,70,22.0,96,755.4,723.8,0.0,0.0,ESE,21.4,22.0,0.00,3.30,72.90,3.30,157.20
67,01/03/2022 05:30:00,5,27.3,70,21.8,96,755.5,723.8,1.1,2.5,ESE,21.2,21.8,0.00,3.30,72.90,3.30,157.20
68,01/03/2022 05:35:00,5,27.3,70,21.9,96,755.6,723.9,2.5,2.5,ESE,21.3,21.9,0.00,3.30,72.90,3.30,157.20
69,01/03/2022 05:40:00,5,27.3,70,21.8,96,755.6,723.9,2.5,3.6,ESE,21.2,21.8,0.00,3.30,72.90,3.30,157.20
70,01/03/2022 05:45:00,5,27.3,70,21.7,96,755.5,723.8,1.1,2.5,ESE,21.1,21.7,0.00,3.30,72.90,3.30,157.20
71,01/03/2022 05:50:00,5,27.3,70,21.7,96,755.7,724.1,0.0,0.0,ESE,21.1,21.7,0.00,3.30,72.90,3.30,157.20
72,01/03/2022 05:55:00,5,27.3,70,21.7,96,755.5,723.8,1.1,3.6,ESE,21.1,21.7,0.00,3.30,72.90,3.30,157.20
73,01/03/2022 06:00:00,5,27.3,70,21.7,96,755.5,723.8,0.0,0.0,ESE,21.1,21.7,0.00,3.30,72.90,3.30,157.20
74,01/03/2022 06:05:00,5,27.3,70,21.8,96,755.6,724.0,1.1,2.5,ESE,21.2,21.8,0.00,3.30,72.90,3.30,157.20
75,01/03/2022 06:10:00,5,27.3,70,21.8,96,755.9,724.2,1.1,2.5,ESE,21.2,21.8,0.00,3.30,72.90,3.30,157.20
76,01/03/2022 06:15:00,5,27.3,70,21.9,96,755.7,724.1,0.0,0.0,ESE,21.3,21.9,0.00,3.30,72.90,3.30,157.20
77,01/03/2022 06:20:00,5,27.3,70,21.9,96,755.8,724.1,1.1,2.5,ESE,21.3,21.9,0.00,3.30,72.90,3.30,157.20
78,01/03/2022 06:25:00,5,27.3,70,22.0,96,755.9,724.3,0.0,2.5,ESE,21.4,22.0,0.00,3.30,72.90,3.30,157.20
79,01/03/2022 06:30:00,5,27.3,70,22.1,95,755.9,724.2,2.5,3.6,ESE,21.3,22.1,0.00,3.30,72.90,3.30,157.20
80,01/03/2022 06:35:00,5,27.3,70,22.1,95,755.9,724.3,3.6,6.1,SE,21.3,22.1,0.00,3.30,72.90,3.30,157.20
81,01/03/2022 06:40:00,5,27.3,70,22.2,95,756.1,724.4,0.0,0.0,ESE,21.4,22.2,0.00,3.30,72.90,3.30,157.20
82,01/03/2022 06:45:00,5,27.3,70,22.2,94,756.2,724.5,0.0,0.0,S,21.2,22.2,0.00,3.30,72.90,3.30,157.20
83,01/03/2022 06:50:00,5,27.3,70,22.4,94,756.0,724.4,0.0,2.5,S,21.4,22.4,0.00,3.30,72.90,3.30,157.20
84,01/03/2022 06:55:00,5,27.3,70,22.3,95,756.0,724.4,1.1,2.5,S,21.5,22.3,0.00,3.30,72.90,3.30,157.20
85,01/03/2022 07:00:00,5,27.3,70,22.4,95,756.2,724.5,0.0,2.5,S,21.6,22.4,0.00,3.30,72.90,3.30,157.20
86,01/03/2022 07:05:00,5,27.3,70,22.5,95,756.2,724.6,1.1,2.5,S,21.7,22.5,0.00,3.30,72.90,3.30,157.20
87,01/03/2022 07:10:00,5,27.3,70,22.6,95,756.3,724.7,0.0,0.0,S,21.8,22.6,0.00,3.30,72.90,3.30,157.20
88,01/03/2022 07:15:00,5,27.3,71,22.8,95,756.3,724.7,0.0,0.0,S,22.0,22.8,0.00,3.30,72.90,3.30,157.20
89,01/03/2022 07:20:00,5,27.3,71,22.7,95,756.4,724.7,0.0,2.5,S,21.9,22.7,0.00,3.30,72.90,3.30,157.20
90,01/03/2022 07:25:00,5,27.3,71,22.9,94,756.7,725.0,3.6,6.1,S,21.9,22.9,0.00,3.30,72.90,3.30,157.20
91,01/03/2022 07:30:00,5,27.3,71,22.7,95,756.8,725.2,5.0,9.7,W,21.9,22.7,0.00,3.30,72.90,3.30,157.20
92,01/03/2022 07:35:00,5,27.3,71,22.7,95,757.0,725.3,5.0,6.1,W,21.9,22.7,0.00,3.30,72.90,3.30,157.20
93,01/03/2022 07:40:00,5,27.3,71,22.8,95,756.9,725.3,3.6,6.1,WSW,22.0,22.8,0.00,3.30,72.90,3.30,157.20
94,01/03/2022 07:45:00,5,27.3,71,22.6,95,756.9,725.3,5.0,7.2,WSW,21.8,22.6,0.00,3.30,72.90,3.30,157.20
95,01/03/2022 07:50:00,5,27.3,71,22.7,96,756.9,725.3,5.0,7.2,WSW,22.1,22.7,0.00,3.30,72.90,3.30,157.20
96,01/03/2022 07:55:00,5,27.3,71,22.5,96,756.8,725.2,5.0,9.7,WSW,21.9,22.5,0.00,3.30,72.90,3.30,157.20
97,01/03/2022 08:00:00,5,27.3,71,22.8,96,756.8,725.1,6.1,9.7,SW,22.2,22.8,0.00,3.30,72.90,3.30,157.20
98,01/03/2022 08:05:00,5,27.3,71,22.8,95,756.8,725.1,3.6,6.1,SW,22.0,22.8,0.00,3.30,72.90,3.30,157.20
99,01/03/2022 08:10:00,5,27.3,71,22.9,95,756.9,725.3,5.0,7.2,SW,22.1,22.9,0.00,3.30,72.90,3.30,157.20
100,01/03/2022 08:15:00,5,27.3,71,23.0,95,756.8,725.2,5.0,7.2,SSW,22.2,23.0,0.00,3.30,72.90,3.30,157.20
101,01/03/2022 08:20:00,5,27.3,71,23.2,93,756.8,725.1,6.1,7.2,SSW,22.0,23.2,0.00,3.30,72.90,3.30,157.20
102,01/03/2022 08:25:00,5,27.3,71,23.4,93,756.8,725.2,5.0,9.7,S,22.2,23.4,0.00,3.30,72.90,3.30,157.20
103,01/03/2022 08:30:00,5,27.3,71,23.7,93,756.8,725.2,3.6,6.1,SSW,22.5,23.7,0.00,3.30,72.90,3.30,157.20
104,01/03/2022 08:35:00,5,27.3,71,23.7,92,756.8,725.1,6.1,9.7,SW,22.3,23.7,0.00,3.30,72.90,3.30,157.20
105,01/03/2022 08:40:00,5,27.3,71,23.9,92,756.9,725.3,5.0,7.2,SW,22.5,23.9,0.00,3.30,72.90,3.30,157.20
106,01/03/2022 08:45:00,5,27.3,71,24.0,91,756.9,725.3,3.6,6.1,SSW,22.5,24.0,0.00,3.30,72.90,3.30,157.20
107,01/03/2022 08:50:00,5,27.3,71,24.2,91,756.7,725.0,5.0,7.2,S,22.7,24.2,0.00,3.30,72.90,3.30,157.20
108,01/03/2022 08:55:00,5,27.3,71,24.6,91,757.0,725.3,5.0,6.1,SW,23.1,24.6,0.00,3.30,72.90,3.30,157.20
109,01/03/2022 09:00:00,5,27.3,71,25.0,88,757.0,725.3,3.6,7.2,SSW,22.9,25.0,0.00,3.30,72.90,3.30,157.20
110,01/03/2022 09:05:00,5,27.3,71,25.3,88,756.8,725.2,5.0,9.7,S,23.2,25.3,0.00,3.30,72.90,3.30,157.20
111,01/03/2022 09:10:00,5,27.3,71,25.3,87,756.9,725.3,8.6,13.3,ESE,23.0,24.6,0.00,3.30,72.90,3.30,157.20
112,01/03/2022 09:15:00,5,27.3,71,25.8,89,757.1,725.4,2.5,3.6,SE,23.9,25.8,0.00,3.30,72.90,3.30,157.20
113,01/03/2022 09:20:00,5,27.3,71,26.0,89,757.1,725.4,3.6,6.1,ESE,24.1,26.0,0.00,3.30,72.90,3.30,157.20
114,01/03/2022 09:25:00,5,27.3,71,25.8,86,757.0,725.3,2.5,7.2,S,23.3,25.8,0.00,3.30,72.90,3.30,157.20
115,01/03/2022 09:30:00,5,27.3,71,26.2,83,757.0,725.3,2.5,3.6,SSE,23.1,26.2,0.00,3.30,72.90,3.30,157.20
116,01/03/2022 09:35:00,5,27.3,71,25.5,86,757.0,725.3,2.5,3.6,SSE,23.0,25.5,0.00,3.30,72.90,3.30,157.20
117,01/03/2022 09:40:00,5,27.3,71,25.7,87,757.1,725.4,5.0,7.2,ESE,23.4,25.7,0.00,3.30,72.90,3.30,157.20
118,01/03/2022 09:45:00,5,27.3,71,25.8,86,757.1,725.5,5.0,7.2,ENE,23.3,25.8,0.00,3.30,72.90,3.30,157.20
119,01/03/2022 09:50:00,5,27.3,71,26.0,85,757.1,725.4,7.2,11.2,E,23.3,25.7,0.00,3.30,72.90,3.30,157.20
120,01/03/2022 09:55:00,5,27.3,71,25.9,87,757.3,725.6,6.1,7.2,ESE,23.6,25.9,0.00,3.30,72.90,3.30,157.20
121,01/03/2022 10:00:00,5,27.3,71,26.0,85,757.2,725.6,5.0,6.1,E,23.3,26.0,0.00,3.30,72.90,3.30,157.20
122,01/03/2022 10:05:00,5,27.3,71,26.3,83,757.2,725.6,6.1,9.7,E,23.2,26.3,0.00,3.30,72.90,3.30,157.20
123,01/03/2022 10:10:00,5,27.3,71,26.5,83,757.1,725.4,2.5,3.6,S,23.4,26.5,0.00,3.30,72.90,3.30,157.20
124,01/03/2022 10:15:00,5,27.3,71,26.4,83,757.2,725.6,2.5,3.6,SW,23.3,26.4,0.00,3.30,72.90,3.30,157.20
125,01/03/2022 10:20:00,5,27.3,71,26.7,81,757.1,725.5,2.5,3.6,NE,23.2,26.7,0.00,3.30,72.90,3.30,157.20
126,01/03/2022 10:25:00,5,27.3,71,26.9,81,757.2,725.6,3.6,7.2,SSW,23.4,26.9,0.00,3.30,72.90,3.30,157.20
127,01/03/2022 10:30:00,5,27.3,71,26.8,82,757.2,725.6,3.6,6.1,W,23.5,26.8,0.00,3.30,72.90,3.30,157.20
128,01/03/2022 10:34:00,4,27.3,71,27.5,82,757.4,725.7,3.6,7.2,SSW,24.2,27.5,0.00,3.30,72.90,3.30,157.20
129,01/03/2022 10:36:57,5,27.3,71,27.5,82,757.4,725.7,3.6,7.2,SSW,24.2,27.5,0.00,3.30,72.90,3.30,157.20
130,01/03/2022 10:41:57,5,27.3,71,27.7,78,757.1,725.5,3.6,7.2,E,23.5,27.7,0.00,3.30,72.90,3.30,157.20
131,01/03/2022 10:46:57,5,27.3,71,27.3,81,757.2,725.6,5.0,9.7,ESE,23.8,27.3,0.00,3.30,72.90,3.30,157.20
132,01/03/2022 10:51:57,5,27.3,71,27.3,81,757.1,725.5,5.0,7.2,NE,23.8,27.3,0.00,3.30,72.90,3.30,157.20
133,01/03/2022 10:56:57,5,27.3,71,27.8,80,757.4,725.7,3.6,3.6,S,24.1,27.8,0.00,3.30,72.90,3.30,157.20
134,01/03/2022 11:01:57,5,27.4,71,27.9,80,757.0,725.3,3.6,6.1,ESE,24.2,27.9,0.00,3.30,72.90,3.30,157.20
135,01/03/2022 11:06:57,5,27.3,71,28.2,81,757.1,725.4,3.6,3.6,SW,24.7,28.2,0.00,3.30,72.90,3.30,157.20
136,01/03/2022 11:11:57,5,27.3,71,28.3,78,757.2,725.6,5.0,7.2,ESE,24.1,28.3,0.00,3.30,72.90,3.30,157.20
137,01/03/2022 11:16:57,5,27.3,71,28.3,76,757.0,725.3,6.1,7.2,ENE,23.7,28.3,0.00,3.30,72.90,3.30,157.20
138,01/03/2022 11:21:57,5,27.4,71,28.2,77,757.1,725.4,3.6,9.7,E,23.8,28.2,0.00,3.30,72.90,3.30,157.20
139,01/03/2022 11:26:57,5,27.4,71,28.4,79,756.9,725.3,7.2,11.2,ESE,24.4,28.2,0.00,3.30,72.90,3.30,157.20
140,01/03/2022 11:31:57,5,27.4,71,28.2,80,756.7,725.0,2.5,3.6,NE,24.5,28.2,0.00,3.30,72.90,3.30,157.20
141,01/03/2022 11:36:57,5,27.4,71,28.7,75,756.7,725.0,3.6,6.1,E,23.9,28.7,0.00,3.30,72.90,3.30,157.20
142,01/03/2022 11:41:57,5,27.4,71,29.1,77,756.8,725.1,1.1,3.6,NW,24.7,29.1,0.00,3.30,72.90,3.30,157.20
143,01/03/2022 11:46:57,5,27.4,71,28.8,75,756.8,725.1,5.0,7.2,NNW,24.0,28.8,0.00,3.30,72.90,3.30,157.20
144,01/03/2022 11:51:57,5,27.4,71,28.7,75,756.8,725.2,3.6,6.1,NE,23.9,28.7,0.00,3.30,72.90,3.30,157.20
145,01/03/2022 11:56:57,5,27.4,71,29.2,76,756.8,725.1,3.6,7.2,NNW,24.6,29.2,0.00,3.30,72.90,3.30,157.20
146,01/03/2022 12:01:57,5,27.4,71,29.1,74,756.8,725.1,3.6,6.1,E,24.0,29.1,0.00,3.30,72.90,3.30,157.20
147,01/03/2022 12:06:57,5,27.4,71,29.5,75,756.6,725.0,6.1,9.7,E,24.6,29.5,0.00,3.30,72.90,3.30,157.20
148,01/03/2022 12:11:57,5,27.4,71,29.0,74,756.7,725.0,3.6,3.6,NE,23.9,29.0,0.00,3.30,72.90,3.30,157.20
149,01/03/2022 12:16:57,5,27.4,71,29.9,74,756.8,725.1,0.0,2.5,N,24.8,29.9,0.00,3.30,72.90,3.30,157.20
150,01/03/2022 12:21:57,5,27.4,71,29.9,72,756.8,725.2,3.6,6.1,NW,24.3,29.9,0.00,3.30,72.90,3.30,157.20
151,01/03/2022 12:26:57,5,27.4,71,29.4,74,756.7,725.0,3.6,7.2,NNW,24.3,29.4,0.00,3.30,72.90,3.30,157.20
152,01/03/2022 12:31:57,5,27.4,71,29.3,75,756.5,724.9,9.7,13.3,NNW,24.4,28.9,0.00,3.30,72.90,3.30,157.20
153,01/03/2022 12:36:57,5,27.4,71,29.6,76,756.5,724.9,7.2,9.7,WSW,25.0,29.4,0.00,3.30,72.90,3.30,157.20
154,01/03/2022 12:41:57,5,27.4,71,29.9,76,756.7,725.0,2.5,6.1,W,25.2,29.9,0.00,3.30,72.90,3.30,157.20
155,01/03/2022 12:46:57,5,28.3,72,29.6,73,756.5,724.8,7.2,7.2,WNW,24.3,29.4,0.00,3.30,72.90,3.30,157.20
156,01/03/2022 12:51:57,5,28.3,72,30.2,73,756.4,724.7,0.0,2.5,WSW,24.9,30.2,0.00,3.30,72.90,3.30,157.20
157,01/03/2022 12:56:57,5,28.3,72,29.7,75,756.4,724.7,8.6,11.2,NW,24.8,29.4,0.00,3.30,72.90,3.30,157.20
158,01/03/2022 13:01:57,5,28.3,72,29.9,72,756.4,724.7,6.1,7.2,NW,24.3,29.9,0.00,3.30,72.90,3.30,157.20
159,01/03/2022 13:06:57,5,28.3,72,30.0,72,756.2,724.6,6.1,9.7,WNW,24.4,30.0,0.00,3.30,72.90,3.30,157.20
160,01/03/2022 13:11:57,5,28.3,72,30.3,72,756.2,724.6,2.5,3.6,NW,24.7,30.3,0.00,3.30,72.90,3.30,157.20
161,01/03/2022 13:16:57,5,28.3,72,30.1,72,756.1,724.4,3.6,6.1,W,24.5,30.1,0.00,3.30,72.90,3.30,157.20
162,01/03/2022 13:21:57,5,28.3,72,29.8,74,756.0,724.4,7.2,11.2,W,24.7,29.6,0.00,3.30,72.90,3.30,157.20
163,01/03/2022 13:26:57,5,28.3,72,30.1,75,756.2,724.5,7.2,9.7,WNW,25.2,30.0,0.00,3.30,72.90,3.30,157.20
164,01/03/2022 13:31:57,5,28.3,72,29.9,74,756.1,724.4,3.6,6.1,WSW,24.8,29.9,0.00,3.30,72.90,3.30,157.20
165,01/03/2022 13:36:57,5,28.3,72,30.0,74,755.9,724.3,5.0,7.2,SSW,24.9,30.0,0.00,3.30,72.90,3.30,157.20
166,01/03/2022 13:41:57,5,28.3,72,29.8,74,755.9,724.2,3.6,6.1,W,24.7,29.8,0.00,3.30,72.90,3.30,157.20
167,01/03/2022 13:46:57,5,28.3,72,29.9,76,755.9,724.3,5.0,9.7,WSW,25.2,29.9,0.00,3.30,72.90,3.30,157.20
168,01/03/2022 13:51:57,5,28.3,72,29.9,73,755.8,724.1,6.1,7.2,W,24.6,29.9,0.00,3.30,72.90,3.30,157.20
169,01/03/2022 13:56:57,5,28.3,72,29.9,74,755.7,724.1,7.2,11.2,SW,24.8,29.7,0.00,3.30,72.90,3.30,157.20
170,01/03/2022 14:01:57,5,28.3,72,29.9,73,755.6,724.0,6.1,9.7,W,24.6,29.9,0.00,3.30,72.90,3.30,157.20
171,01/03/2022 14:06:57,5,28.3,72,30.0,72,755.6,723.9,6.1,7.2,W,24.4,30.0,0.00,3.30,72.90,3.30,157.20
172,01/03/2022 14:11:57,5,28.3,72,29.9,71,755.6,724.0,8.6,11.2,WSW,24.1,29.6,0.00,3.30,72.90,3.30,157.20
173,01/03/2022 14:16:57,5,28.3,72,30.0,74,755.3,723.7,5.0,7.2,WNW,24.9,30.0,0.00,3.30,72.90,3.30,157.20
174,01/03/2022 14:21:57,5,28.3,71,30.1,73,755.3,723.7,5.0,7.2,NW,24.8,30.1,0.00,3.30,72.90,3.30,157.20
175,01/03/2022 14:26:57,5,28.3,71,30.0,72,755.3,723.7,6.1,9.7,W,24.4,30.0,0.00,3.30,72.90,3.30,157.20
176,01/03/2022 14:31:57,5,28.3,71,30.6,74,755.3,723.6,3.6,6.1,W,25.5,30.6,0.00,3.30,72.90,3.30,157.20
177,01/03/2022 14:36:57,5,28.3,71,30.4,73,755.1,723.5,8.6,11.2,NW,25.0,30.2,0.00,3.30,72.90,3.30,157.20
178,01/03/2022 14:41:57,5,28.3,71,30.5,73,755.1,723.5,8.6,13.3,WNW,25.1,30.3,0.00,3.30,72.90,3.30,157.20
